WARNING 2024-12-08 14:35:06,708 log Not Found: /api/
WARNING 2024-12-08 14:36:53,338 log Not Found: /api/
WARNING 2024-12-08 14:43:08,913 log Not Found: /api/
WARNING 2024-12-08 14:46:15,181 log Not Found: /api/
WARNING 2024-12-08 14:50:53,047 log Not Found: /api/register/
WARNING 2024-12-08 14:53:26,653 log Not Found: /api/register/
WARNING 2024-12-08 14:53:31,366 log Not Found: /api/
WARNING 2024-12-08 14:53:33,162 log Not Found: /api/
WARNING 2024-12-08 14:55:59,772 log Not Found: /api/
WARNING 2024-12-08 14:56:04,263 log Not Found: /api/
WARNING 2024-12-08 14:56:17,124 log Not Found: /api/customers
WARNING 2024-12-08 14:56:20,492 log Not Found: /api/customers/
WARNING 2024-12-08 14:56:33,488 log Not Found: /api/
WARNING 2024-12-08 14:56:37,389 log Not Found: /api/
WARNING 2024-12-08 14:56:46,355 log Not Found: /api/customers/
WARNING 2024-12-08 14:56:48,330 log Not Found: /api/customers
WARNING 2024-12-08 15:05:17,405 log Not Found: /api/register/
WARNING 2024-12-08 15:09:34,979 log Not Found: /api/register/
WARNING 2024-12-08 15:13:07,851 log Not Found: /
WARNING 2024-12-08 15:13:11,273 log Not Found: /
WARNING 2024-12-12 01:57:11,667 log Not Found: /api/session/properties
WARNING 2024-12-12 10:06:30,898 log Not Found: /api/register/
WARNING 2024-12-12 10:06:33,015 log Not Found: /api/register/
WARNING 2024-12-12 10:06:33,583 log Not Found: /api/register/
WARNING 2024-12-12 10:06:33,714 log Not Found: /api/register/
WARNING 2024-12-12 10:07:02,609 log Not Found: /api/register/
WARNING 2024-12-12 10:07:03,023 log Not Found: /api/register/
WARNING 2024-12-12 10:07:03,216 log Not Found: /api/register/
WARNING 2024-12-12 10:07:03,403 log Not Found: /api/register/
WARNING 2024-12-12 10:07:03,555 log Not Found: /api/register/
WARNING 2024-12-12 10:07:03,747 log Not Found: /api/register/
WARNING 2024-12-12 10:07:03,935 log Not Found: /api/register/
WARNING 2024-12-12 10:07:04,083 log Not Found: /api/register/
WARNING 2024-12-12 10:07:14,988 log Not Found: /api/register/
WARNING 2024-12-12 10:07:15,195 log Not Found: /api/register/
WARNING 2024-12-12 10:07:15,588 log Not Found: /api/register/
WARNING 2024-12-12 10:07:15,807 log Not Found: /api/register/
WARNING 2024-12-12 10:07:17,027 log Not Found: /api/register/
WARNING 2024-12-12 10:07:17,515 log Not Found: /api/register/
WARNING 2024-12-12 10:07:17,828 log Not Found: /api/register/
WARNING 2024-12-12 10:07:18,256 log Not Found: /api/register/
WARNING 2024-12-12 10:07:18,865 log Not Found: /api/register/
WARNING 2024-12-12 10:07:19,252 log Not Found: /api/register/
WARNING 2024-12-12 10:07:19,595 log Not Found: /api/register/
WARNING 2024-12-12 10:07:30,163 log Not Found: /api/register/
WARNING 2024-12-12 10:07:30,393 log Not Found: /api/register/
WARNING 2024-12-12 10:07:30,643 log Not Found: /api/register/
WARNING 2024-12-12 10:07:32,455 log Not Found: /api/register/
WARNING 2024-12-12 10:07:32,695 log Not Found: /api/register/
WARNING 2024-12-12 10:07:32,904 log Not Found: /api/register/
WARNING 2024-12-12 10:07:33,520 log Not Found: /api/register/
WARNING 2024-12-12 10:07:33,708 log Not Found: /api/register/
WARNING 2024-12-12 10:07:34,048 log Not Found: /api/register/
WARNING 2024-12-12 10:07:34,183 log Not Found: /api/register/
WARNING 2024-12-12 10:09:52,821 log Not Found: /api/register/
WARNING 2024-12-12 10:09:52,877 log Not Found: /api/register/
WARNING 2024-12-12 10:09:52,917 log Not Found: /api/register/
WARNING 2024-12-12 10:09:53,081 log Not Found: /api/register/
WARNING 2024-12-13 17:49:26,485 log Not Found: /api/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
WARNING 2024-12-14 23:34:26,007 log Not Found: /api/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
WARNING 2024-12-15 03:56:01,368 log Not Found: /api/.env
WARNING 2024-12-15 08:07:18,237 log Not Found: /api/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
WARNING 2024-12-15 10:52:06,178 log Not Found: /api/v1/env
WARNING 2024-12-15 10:52:06,895 log Not Found: /api/v1/actuator/env
WARNING 2024-12-15 10:52:07,296 log Not Found: /api/v2/env
WARNING 2024-12-15 10:52:07,626 log Not Found: /api/v2/actuator/env
WARNING 2024-12-16 11:28:58,510 log Not Found: /api/.env
WARNING 2024-12-16 11:28:59,354 log Not Found: /api/.env
WARNING 2024-12-16 11:32:37,247 log Not Found: /api/index.php/v1/config/application
WARNING 2024-12-17 09:38:11,999 log Not Found: /api/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
WARNING 2024-12-18 01:34:48,074 log Not Found: /api/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
WARNING 2024-12-19 07:17:07,271 log Not Found: /api/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
WARNING 2024-12-19 08:22:10,905 log Not Found: /api/login/
WARNING 2024-12-19 08:48:45,109 log Bad Request: /api/customers/
WARNING 2024-12-19 08:49:12,708 log Not Found: /api/customers/1/
